"id","user_id","enviado_utc","http","latencia_ms","error"
"1","E8-C1-R1-5492610000001@whatsapp.sim","2026-09-15 14:37:55.017","200","84",
"2","E8-C1-R1-5492610000002@whatsapp.sim","2026-09-15 14:37:56.119","200","35",
"3","E8-C1-R1-5492610000003@whatsapp.sim","2026-09-15 14:37:57.160","200","31",
"4","E8-C1-R1-5492610000004@whatsapp.sim","2026-09-15 14:37:58.197","200","37",
"5","E8-C1-R1-5492610000005@whatsapp.sim","2026-09-15 14:37:59.242","200","31",
"6","E8-C1-R1-5492610000006@whatsapp.sim","2026-09-15 14:38:00.287","200","34",
"7","E8-C1-R1-5492610000007@whatsapp.sim","2026-09-15 14:38:01.325","200","30",
"8","E8-C1-R1-5492610000008@whatsapp.sim","2026-09-15 14:38:02.364","200","30",
"9","E8-C1-R1-5492610000009@whatsapp.sim","2026-09-15 14:38:03.403","200","51",
"10","E8-C1-R1-5492610000010@whatsapp.sim","2026-09-15 14:38:04.458","200","31",
"11","E8-C1-R1-5492610000011@whatsapp.sim","2026-09-15 14:38:05.496","200","38",
"12","E8-C1-R1-5492610000012@whatsapp.sim","2026-09-15 14:38:06.539","200","30",
"13","E8-C1-R1-5492610000013@whatsapp.sim","2026-09-15 14:38:07.577","200","34",
"14","E8-C1-R1-5492610000014@whatsapp.sim","2026-09-15 14:38:08.618","200","36",
"15","E8-C1-R1-5492610000015@whatsapp.sim","2026-09-15 14:38:09.659","200","29",
"16","E8-C1-R1-5492610000016@whatsapp.sim","2026-09-15 14:38:10.695","200","29",
"17","E8-C1-R1-5492610000017@whatsapp.sim","2026-09-15 14:38:11.729","200","32",
"18","E8-C1-R1-5492610000018@whatsapp.sim","2026-09-15 14:38:12.769","200","28",
"19","E8-C1-R1-5492610000019@whatsapp.sim","2026-09-15 14:38:13.812","200","31",
"20","E8-C1-R1-5492610000020@whatsapp.sim","2026-09-15 14:38:14.852","200","43",
"21","E8-C1-R1-5492610000021@whatsapp.sim","2026-09-15 14:38:15.907","200","28",
"22","E8-C1-R1-5492610000022@whatsapp.sim","2026-09-15 14:38:16.947","200","32",
"23","E8-C1-R1-5492610000023@whatsapp.sim","2026-09-15 14:38:17.988","200","30",
"24","E8-C1-R1-5492610000024@whatsapp.sim","2026-09-15 14:38:19.029","200","29",
"25","E8-C1-R1-5492610000025@whatsapp.sim","2026-09-15 14:38:20.061","200","28",
"26","E8-C1-R1-5492610000026@whatsapp.sim","2026-09-15 14:38:21.098","200","31",
"27","E8-C1-R1-5492610000027@whatsapp.sim","2026-09-15 14:38:22.140","200","38",
"28","E8-C1-R1-5492610000028@whatsapp.sim","2026-09-15 14:38:23.182","200","29",
"29","E8-C1-R1-5492610000029@whatsapp.sim","2026-09-15 14:38:24.220","200","29",
"30","E8-C1-R1-5492610000030@whatsapp.sim","2026-09-15 14:38:25.251","200","28",
"31","E8-C1-R1-5492610000031@whatsapp.sim","2026-09-15 14:38:26.292","200","29",
"32","E8-C1-R1-5492610000032@whatsapp.sim","2026-09-15 14:38:27.331","200","29",
"33","E8-C1-R1-5492610000033@whatsapp.sim","2026-09-15 14:38:28.371","200","30",
"34","E8-C1-R1-5492610000034@whatsapp.sim","2026-09-15 14:38:29.412","200","29",
"35","E8-C1-R1-5492610000035@whatsapp.sim","2026-09-15 14:38:30.451","200","30",
"36","E8-C1-R1-5492610000036@whatsapp.sim","2026-09-15 14:38:31.490","200","29",
"37","E8-C1-R1-5492610000037@whatsapp.sim","2026-09-15 14:38:32.533","200","30",
"38","E8-C1-R1-5492610000038@whatsapp.sim","2026-09-15 14:38:33.575","200","29",
"39","E8-C1-R1-5492610000039@whatsapp.sim","2026-09-15 14:38:34.616","200","28",
"40","E8-C1-R1-5492610000040@whatsapp.sim","2026-09-15 14:38:35.652","200","28",
