"id","user_id","enviado_utc","http","latencia_ms","error"
"1","E8-C3-R3i2-5492610000001@whatsapp.sim","2026-09-15 15:12:46.749","200","82",
"2","E8-C3-R3i2-5492610000002@whatsapp.sim","2026-09-15 15:12:47.846","200","34",
"3","E8-C3-R3i2-5492610000003@whatsapp.sim","2026-09-15 15:12:48.884","200","30",
"4","E8-C3-R3i2-5492610000004@whatsapp.sim","2026-09-15 15:12:49.927","200","30",
"5","E8-C3-R3i2-5492610000005@whatsapp.sim","2026-09-15 15:12:50.969","200","28",
"6","E8-C3-R3i2-5492610000006@whatsapp.sim","2026-09-15 15:12:52.009","200","29",
"7","E8-C3-R3i2-5492610000007@whatsapp.sim","2026-09-15 15:12:53.052","200","27",
"8","E8-C3-R3i2-5492610000008@whatsapp.sim","2026-09-15 15:12:54.093","200","28",
"9","E8-C3-R3i2-5492610000009@whatsapp.sim","2026-09-15 15:12:55.135","200","28",
"10","E8-C3-R3i2-5492610000010@whatsapp.sim","2026-09-15 15:12:56.170","200","30",
"11","E8-C3-R3i2-5492610000011@whatsapp.sim","2026-09-15 15:12:57.212","200","28",
"12","E8-C3-R3i2-5492610000012@whatsapp.sim","2026-09-15 15:12:58.256","200","32",
"13","E8-C3-R3i2-5492610000013@whatsapp.sim","2026-09-15 15:12:59.294","200","28",
"14","E8-C3-R3i2-5492610000014@whatsapp.sim","2026-09-15 15:13:00.334","200","33",
"15","E8-C3-R3i2-5492610000015@whatsapp.sim","2026-09-15 15:13:01.373","200","27",
"16","E8-C3-R3i2-5492610000016@whatsapp.sim","2026-09-15 15:13:02.412","200","29",
"17","E8-C3-R3i2-5492610000017@whatsapp.sim","2026-09-15 15:13:03.449","200","28",
"18","E8-C3-R3i2-5492610000018@whatsapp.sim","2026-09-15 15:13:04.491","200","27",
"19","E8-C3-R3i2-5492610000019@whatsapp.sim","2026-09-15 15:13:05.528","200","32",
"20","E8-C3-R3i2-5492610000020@whatsapp.sim","2026-09-15 15:13:06.566","200","41",
"21","E8-C3-R3i2-5492610000021@whatsapp.sim","2026-09-15 15:13:07.621","200","28",
"22","E8-C3-R3i2-5492610000022@whatsapp.sim","2026-09-15 15:13:08.661","200","29",
"23","E8-C3-R3i2-5492610000023@whatsapp.sim","2026-09-15 15:13:09.702","200","28",
"24","E8-C3-R3i2-5492610000024@whatsapp.sim","2026-09-15 15:13:10.740","200","28",
"25","E8-C3-R3i2-5492610000025@whatsapp.sim","2026-09-15 15:13:11.784","200","29",
"26","E8-C3-R3i2-5492610000026@whatsapp.sim","2026-09-15 15:13:12.824","200","28",
"27","E8-C3-R3i2-5492610000027@whatsapp.sim","2026-09-15 15:13:13.866","200","29",
"28","E8-C3-R3i2-5492610000028@whatsapp.sim","2026-09-15 15:13:14.908","200","47",
"29","E8-C3-R3i2-5492610000029@whatsapp.sim","2026-09-15 15:13:15.965","200","28",
"30","E8-C3-R3i2-5492610000030@whatsapp.sim","2026-09-15 15:13:16.998","200","28",
"31","E8-C3-R3i2-5492610000031@whatsapp.sim","2026-09-15 15:13:18.037","200","29",
"32","E8-C3-R3i2-5492610000032@whatsapp.sim","2026-09-15 15:13:19.077","200","27",
"33","E8-C3-R3i2-5492610000033@whatsapp.sim","2026-09-15 15:13:20.106","200","28",
"34","E8-C3-R3i2-5492610000034@whatsapp.sim","2026-09-15 15:13:21.142","200","27",
"35","E8-C3-R3i2-5492610000035@whatsapp.sim","2026-09-15 15:13:22.191","200","29",
"36","E8-C3-R3i2-5492610000036@whatsapp.sim","2026-09-15 15:13:23.226","200","28",
"37","E8-C3-R3i2-5492610000037@whatsapp.sim","2026-09-15 15:13:24.266","200","28",
"38","E8-C3-R3i2-5492610000038@whatsapp.sim","2026-09-15 15:13:25.306","200","28",
"39","E8-C3-R3i2-5492610000039@whatsapp.sim","2026-09-15 15:13:26.344","200","32",
"40","E8-C3-R3i2-5492610000040@whatsapp.sim","2026-09-15 15:13:27.381","200","28",
"41","E8-C3-R3i2-5492610000041@whatsapp.sim","2026-09-15 15:13:28.424","200","27",
"42","E8-C3-R3i2-5492610000042@whatsapp.sim","2026-09-15 15:13:29.462","200","27",
"43","E8-C3-R3i2-5492610000043@whatsapp.sim","2026-09-15 15:13:30.504","200","28",
"44","E8-C3-R3i2-5492610000044@whatsapp.sim","2026-09-15 15:13:31.543","200","28",
"45","E8-C3-R3i2-5492610000045@whatsapp.sim","2026-09-15 15:13:32.584","200","29",
"46","E8-C3-R3i2-5492610000046@whatsapp.sim","2026-09-15 15:13:33.625","200","27",
"47","E8-C3-R3i2-5492610000047@whatsapp.sim","2026-09-15 15:13:34.666","200","27",
"48","E8-C3-R3i2-5492610000048@whatsapp.sim","2026-09-15 15:13:35.707","200","27",
"49","E8-C3-R3i2-5492610000049@whatsapp.sim","2026-09-15 15:13:36.738","200","27",
"50","E8-C3-R3i2-5492610000050@whatsapp.sim","2026-09-15 15:13:37.775","200","28",
"51","E8-C3-R3i2-5492610000051@whatsapp.sim","2026-09-15 15:13:38.813","200","27",
"52","E8-C3-R3i2-5492610000052@whatsapp.sim","2026-09-15 15:13:39.852","200","27",
"53","E8-C3-R3i2-5492610000053@whatsapp.sim","2026-09-15 15:13:40.893","200","28",
"54","E8-C3-R3i2-5492610000054@whatsapp.sim","2026-09-15 15:13:41.934","200","27",
"55","E8-C3-R3i2-5492610000055@whatsapp.sim","2026-09-15 15:13:42.972","200","28",
"56","E8-C3-R3i2-5492610000056@whatsapp.sim","2026-09-15 15:13:44.014","200","29",
"57","E8-C3-R3i2-5492610000057@whatsapp.sim","2026-09-15 15:13:45.057","200","28",
"58","E8-C3-R3i2-5492610000058@whatsapp.sim","2026-09-15 15:13:46.098","200","40",
"59","E8-C3-R3i2-5492610000059@whatsapp.sim","2026-09-15 15:13:47.150","200","27",
"60","E8-C3-R3i2-5492610000060@whatsapp.sim","2026-09-15 15:13:48.184","200","27",
"61","E8-C3-R3i2-5492610000061@whatsapp.sim","2026-09-15 15:13:49.225","200","28",
"62","E8-C3-R3i2-5492610000062@whatsapp.sim","2026-09-15 15:13:50.264","200","27",
"63","E8-C3-R3i2-5492610000063@whatsapp.sim","2026-09-15 15:13:51.302","200","27",
"64","E8-C3-R3i2-5492610000064@whatsapp.sim","2026-09-15 15:13:52.333","200","28",
"65","E8-C3-R3i2-5492610000065@whatsapp.sim","2026-09-15 15:13:53.372","200","27",
"66","E8-C3-R3i2-5492610000066@whatsapp.sim","2026-09-15 15:13:54.411","200","28",
"67","E8-C3-R3i2-5492610000067@whatsapp.sim","2026-09-15 15:13:55.450","200","28",
"68","E8-C3-R3i2-5492610000068@whatsapp.sim","2026-09-15 15:13:56.488","200","34",
"69","E8-C3-R3i2-5492610000069@whatsapp.sim","2026-09-15 15:13:57.528","200","29",
"70","E8-C3-R3i2-5492610000070@whatsapp.sim","2026-09-15 15:13:58.570","200","30",
"71","E8-C3-R3i2-5492610000071@whatsapp.sim","2026-09-15 15:13:59.607","200","28",
"72","E8-C3-R3i2-5492610000072@whatsapp.sim","2026-09-15 15:14:00.649","200","27",
"73","E8-C3-R3i2-5492610000073@whatsapp.sim","2026-09-15 15:14:01.685","200","28",
"74","E8-C3-R3i2-5492610000074@whatsapp.sim","2026-09-15 15:14:02.723","200","28",
"75","E8-C3-R3i2-5492610000075@whatsapp.sim","2026-09-15 15:14:03.763","200","27",
"76","E8-C3-R3i2-5492610000076@whatsapp.sim","2026-09-15 15:14:04.802","200","28",
"77","E8-C3-R3i2-5492610000077@whatsapp.sim","2026-09-15 15:14:05.840","200","27",
"78","E8-C3-R3i2-5492610000078@whatsapp.sim","2026-09-15 15:14:06.883","200","27",
"79","E8-C3-R3i2-5492610000079@whatsapp.sim","2026-09-15 15:14:07.921","200","28",
"80","E8-C3-R3i2-5492610000080@whatsapp.sim","2026-09-15 15:14:08.951","200","29",
"81","E8-C3-R3i2-5492610000081@whatsapp.sim","2026-09-15 15:14:09.990","200","28",
"82","E8-C3-R3i2-5492610000082@whatsapp.sim","2026-09-15 15:14:11.030","200","27",
"83","E8-C3-R3i2-5492610000083@whatsapp.sim","2026-09-15 15:14:12.070","200","28",
"84","E8-C3-R3i2-5492610000084@whatsapp.sim","2026-09-15 15:14:13.110","200","27",
"85","E8-C3-R3i2-5492610000085@whatsapp.sim","2026-09-15 15:14:14.150","200","27",
"86","E8-C3-R3i2-5492610000086@whatsapp.sim","2026-09-15 15:14:15.193","200","27",
"87","E8-C3-R3i2-5492610000087@whatsapp.sim","2026-09-15 15:14:16.232","200","27",
"88","E8-C3-R3i2-5492610000088@whatsapp.sim","2026-09-15 15:14:17.267","200","28",
"89","E8-C3-R3i2-5492610000089@whatsapp.sim","2026-09-15 15:14:18.308","200","27",
"90","E8-C3-R3i2-5492610000090@whatsapp.sim","2026-09-15 15:14:19.350","200","29",
"91","E8-C3-R3i2-5492610000091@whatsapp.sim","2026-09-15 15:14:20.392","200","28",
"92","E8-C3-R3i2-5492610000092@whatsapp.sim","2026-09-15 15:14:21.430","200","28",
"93","E8-C3-R3i2-5492610000093@whatsapp.sim","2026-09-15 15:14:22.473","200","27",
"94","E8-C3-R3i2-5492610000094@whatsapp.sim","2026-09-15 15:14:23.511","200","28",
"95","E8-C3-R3i2-5492610000095@whatsapp.sim","2026-09-15 15:14:24.551","200","27",
"96","E8-C3-R3i2-5492610000096@whatsapp.sim","2026-09-15 15:14:25.589","200","27",
"97","E8-C3-R3i2-5492610000097@whatsapp.sim","2026-09-15 15:14:26.623","200","29",
"98","E8-C3-R3i2-5492610000098@whatsapp.sim","2026-09-15 15:14:27.658","200","29",
"99","E8-C3-R3i2-5492610000099@whatsapp.sim","2026-09-15 15:14:28.695","200","27",
"100","E8-C3-R3i2-5492610000100@whatsapp.sim","2026-09-15 15:14:29.737","200","27",
"101","E8-C3-R3i2-5492610000101@whatsapp.sim","2026-09-15 15:14:30.780","200","28",
"102","E8-C3-R3i2-5492610000102@whatsapp.sim","2026-09-15 15:14:31.817","200","27",
"103","E8-C3-R3i2-5492610000103@whatsapp.sim","2026-09-15 15:14:32.856","200","27",
"104","E8-C3-R3i2-5492610000104@whatsapp.sim","2026-09-15 15:14:33.895","200","28",
"105","E8-C3-R3i2-5492610000105@whatsapp.sim","2026-09-15 15:14:34.936","200","27",
"106","E8-C3-R3i2-5492610000106@whatsapp.sim","2026-09-15 15:14:35.973","200","28",
"107","E8-C3-R3i2-5492610000107@whatsapp.sim","2026-09-15 15:14:37.007","200","27",
"108","E8-C3-R3i2-5492610000108@whatsapp.sim","2026-09-15 15:14:38.045","200","26",
"109","E8-C3-R3i2-5492610000109@whatsapp.sim","2026-09-15 15:14:39.085","200","27",
"110","E8-C3-R3i2-5492610000110@whatsapp.sim","2026-09-15 15:14:40.122","200","27",
"111","E8-C3-R3i2-5492610000111@whatsapp.sim","2026-09-15 15:14:41.164","200","28",
"112","E8-C3-R3i2-5492610000112@whatsapp.sim","2026-09-15 15:14:42.203","200","28",
"113","E8-C3-R3i2-5492610000113@whatsapp.sim","2026-09-15 15:14:43.245","200","27",
"114","E8-C3-R3i2-5492610000114@whatsapp.sim","2026-09-15 15:14:44.286","200","26",
"115","E8-C3-R3i2-5492610000115@whatsapp.sim","2026-09-15 15:14:45.317","200","27",
"116","E8-C3-R3i2-5492610000116@whatsapp.sim","2026-09-15 15:14:46.359","200","28",
"117","E8-C3-R3i2-5492610000117@whatsapp.sim","2026-09-15 15:14:47.399","200","28",
"118","E8-C3-R3i2-5492610000118@whatsapp.sim","2026-09-15 15:14:48.435","200","29",
"119","E8-C3-R3i2-5492610000119@whatsapp.sim","2026-09-15 15:14:49.474","200","27",
"120","E8-C3-R3i2-5492610000120@whatsapp.sim","2026-09-15 15:14:50.514","200","26",
"121","E8-C3-R3i2-5492610000121@whatsapp.sim","2026-09-15 15:14:51.554","200","28",
"122","E8-C3-R3i2-5492610000122@whatsapp.sim","2026-09-15 15:14:52.584","200","28",
"123","E8-C3-R3i2-5492610000123@whatsapp.sim","2026-09-15 15:14:53.625","200","27",
"124","E8-C3-R3i2-5492610000124@whatsapp.sim","2026-09-15 15:14:54.663","200","27",
"125","E8-C3-R3i2-5492610000125@whatsapp.sim","2026-09-15 15:14:55.701","200","28",
"126","E8-C3-R3i2-5492610000126@whatsapp.sim","2026-09-15 15:14:56.737","200","27",
"127","E8-C3-R3i2-5492610000127@whatsapp.sim","2026-09-15 15:14:57.777","200","28",
"128","E8-C3-R3i2-5492610000128@whatsapp.sim","2026-09-15 15:14:58.815","200","27",
"129","E8-C3-R3i2-5492610000129@whatsapp.sim","2026-09-15 15:14:59.849","200","27",
"130","E8-C3-R3i2-5492610000130@whatsapp.sim","2026-09-15 15:15:00.889","200","26",
"131","E8-C3-R3i2-5492610000131@whatsapp.sim","2026-09-15 15:15:01.931","200","27",
"132","E8-C3-R3i2-5492610000132@whatsapp.sim","2026-09-15 15:15:02.974","200","38",
"133","E8-C3-R3i2-5492610000133@whatsapp.sim","2026-09-15 15:15:04.014","200","27",
"134","E8-C3-R3i2-5492610000134@whatsapp.sim","2026-09-15 15:15:05.054","200","27",
"135","E8-C3-R3i2-5492610000135@whatsapp.sim","2026-09-15 15:15:06.090","200","31",
"136","E8-C3-R3i2-5492610000136@whatsapp.sim","2026-09-15 15:15:07.130","200","27",
"137","E8-C3-R3i2-5492610000137@whatsapp.sim","2026-09-15 15:15:08.168","200","28",
"138","E8-C3-R3i2-5492610000138@whatsapp.sim","2026-09-15 15:15:09.208","200","28",
"139","E8-C3-R3i2-5492610000139@whatsapp.sim","2026-09-15 15:15:10.246","200","28",
"140","E8-C3-R3i2-5492610000140@whatsapp.sim","2026-09-15 15:15:11.286","200","27",
"141","E8-C3-R3i2-5492610000141@whatsapp.sim","2026-09-15 15:15:12.329","200","27",
"142","E8-C3-R3i2-5492610000142@whatsapp.sim","2026-09-15 15:15:13.372","200","27",
"143","E8-C3-R3i2-5492610000143@whatsapp.sim","2026-09-15 15:15:14.414","200","27",
"144","E8-C3-R3i2-5492610000144@whatsapp.sim","2026-09-15 15:15:15.455","200","37",
"145","E8-C3-R3i2-5492610000145@whatsapp.sim","2026-09-15 15:15:16.492","200","34",
"146","E8-C3-R3i2-5492610000146@whatsapp.sim","2026-09-15 15:15:17.542","200","27",
"147","E8-C3-R3i2-5492610000147@whatsapp.sim","2026-09-15 15:15:18.581","200","27",
"148","E8-C3-R3i2-5492610000148@whatsapp.sim","2026-09-15 15:15:19.616","200","27",
"149","E8-C3-R3i2-5492610000149@whatsapp.sim","2026-09-15 15:15:20.657","200","27",
"150","E8-C3-R3i2-5492610000150@whatsapp.sim","2026-09-15 15:15:21.692","200","36",
